Full Name,Email,Phone,City,Experience (Years),Current CTC,Applied Date,Skills,Gig Rate,Gig Status,CBNexus Verified,Projects Completed
Tanvi Gupta,tanvi.gupta31@example.com,9000000254,Bengaluru,4.2,417964.0,24/07/2026,"Langchain, Mongodb, N8N, Rest Apis, Sql",1331/hr,Paused,False,14
Manish Reddy,manish.reddy73@example.com,9000000237,Gurugram,3.5,332456.0,08/08/2026,"Docker, Javascript, Zapier",,,,
Priya Singh,priya.singh61@mailtest.example.org,9000000287,Gurugram,3.0,775670.0,01/08/2026,"Mysql, N8N, Python, React, Sql, Zapier",,,True,3
Vikram Saxena,vikram.saxena60@example.com,9000000113,Gurugram,1.9,654699.0,07/07/2026,"Docker, Fastapi, React, Selenium, Sql, Web Scraping",843/hr,Active,False,15
Amit Agarwal,amit.agarwal3@mailtest.example.org,9000000288,Pune,1.8,420000.0,19/07/2026,"Docker, Javascript, Python, Sql",,,,
Sahil Malhotra,sahil.malhotra1@example.in,9000000143,Noida,1.7,806661.0,13/07/2026,"Docker, Fastapi, Mysql, Pandas, Rest Apis, Zapier",,,False,0
Shreya Gupta,shreya.gupta85@example.com,9000000227,Noida,3.3,830000.0,19/07/2026,"Docker, N8N, Python, Web Scraping, Zapier",,,True,13
Isha Chopra,isha.chopra95@mailtest.example.org,9000000138,Pune,5.4,472935.0,02/08/2026,"Javascript, Mysql, React",1406/hr,Active,False,7
Priya Nair,priya.nair70@example.com,9000000222,Gurugram,5.6,366311.0,28/07/2026,"N8N, Python, React, Rest Apis, Web Scraping, Zapier",,,,
Rohit Mishra,rohit.mishra70@mailtest.example.org,9000000167,New Delhi,4.4,871686.0,13/07/2026,"Docker, Fastapi, Mysql, Pandas, Sql, Zapier",,,,
Rahul Malhotra,rahul.malhotra69@mailtest.example.org,9000000260,New Delhi,2.5,864237.0,07/03/2026,"Mongodb, Mysql, Rest Apis, Selenium, Sql",,,False,4
Rahul Jain,rahul.jain34@example.in,9000000114,Noida,2.8,1195422.0,24/06/2026,"Docker, Python, Selenium, Zapier",,,,
Nikhil Malhotra,nikhil.malhotra41@example.in,9000000145,New Delhi,4.2,509999.0,21/08/2026,"Fastapi, Javascript, Python, Sql, Web Scraping",,,,
Karan Bhatia,karan.bhatia32@mailtest.example.org,9000000211,Noida,4.7,826748.0,08/07/2026,"Javascript, Mongodb, Selenium, Sql, Web Scraping, Zapier",403/hr,Active,True,2
Ritu Sharma,ritu.sharma23@mailtest.example.org,9000000146,Noida,4.8,610000.0,03/08/2026,"Mongodb, N8N, React, Sql, Web Scraping",,,True,15
Arjun Mishra,arjun.mishra70@example.com,9000000106,New Delhi,1.3,580000.0,22/08/2026,"Docker, Javascript, React",440/hr,Active,False,10
Meera Bhatia,meera.bhatia52@mailtest.example.org,9000000223,New Delhi,5.1,1120000.0,03/07/2026,"Docker, Langchain, Mysql, Python, React, Sql",330/hr,Active,False,4
Varun Jain,varun.jain29@example.com,9000000263,Pune,3.1,760000.0,19/08/2026,"Fastapi, Mongodb, Mysql, N8N, Pandas, Web Scraping",1415/hr,Active,True,14
Arjun Mehta,arjun.mehta9@example.in,9000000131,Noida,4.0,1181149.0,21/07/2026,"N8N, Selenium, Sql",,,False,9
Kavya Mehta,kavya.mehta7@example.com,9000000177,Bengaluru,5.1,240000.0,02/07/2026,"Fastapi, Mongodb, N8N, Pandas, React",,,,
